id,service_provider,activity,well_name,template_id,split,heldout_provider,heldout_activity
24,halliburton energy services,Tripping Out,MB41,halliburton_trip_out_v1,train,0,0
25,halliburton energy services,drilling rotarry,NS-32ST1,halliburton_rotary_drilling_v2,train,0,0
26,Bkr,Pull Otu Of Hole,AR57,baker_hughes_trip_out_v1,train,0,0
27,Schlumberger Ltd,circulation,WELL-AR-85,slb_circulating_v2,train,0,0
28,BAKER HUGHES CO,rotaitng drilling,ar-14A,baker_hughes_rotary_drilling_v2,test,0,1
29,BAKER HUGHES CO,  slide  drll ,WELL-AR-93ST1,baker_hughes_slide_drilling_v1,train,0,0
30,Halliburton Co,trip in,AR 59ST1,halliburton_trip_in_v1,train,0,0
31,Baker Hughes,  pulling  out of hole ,NS-078,baker_hughes_trip_out_v1,train,0,0
32,Hlaliburton Co,  pooh ,WELL-NS-8,halliburton_trip_out_v1,train,0,0
33,HAL,TRIPPING OUT,WELL-KG-44H,halliburton_trip_out_v1,train,0,0
34,Hal,RIH,bh-11,halliburton_trip_in_v1,test,0,0
35,BakerHughes,CIRCUALTE,AR39H,baker_hughes_circulating_v2,train,0,0
36,Schlumberger,Slide Drilling,NS 7,slb_slide_drilling_v1,train,0,0
37,Hal,drilling rotary,WELL-AR-45ST1,halliburton_rotary_drilling_v2,train,0,0
38,Slb Ltd,rotary drill,MB-52,slb_rotary_drilling_v1,train,0,0
39,BakerHughes,tih,MB 97ST1,baker_hughes_trip_in_v1,train,0,0
40,biker hughes co,pooh,BH38,baker_hughes_trip_out_v1,train,0,0
41,slb ltd,drilling - rotary,AR-32ST1,slb_rotary_drilling_v2,test,0,0
42,Schlumberger Lttd,sliding mode drilling,AR 74,slb_slide_drilling_v1,val,0,0
43,SLB Ltd,slide drilling,BH42,slb_slide_drilling_v1,val,0,0
44,  HALLIBURTON ,drilling - rotary,MB55ST1,halliburton_rotary_drilling_v1,train,0,0
45,Schlumberger Ltd,pulling out of hole,NS-63ST1,slb_trip_out_v1,train,0,0
46,halliburton,rotary drlg,AR-090H,halliburton_rotary_drilling_v2,train,0,0
47,BKR,drilling rotary,WELL-NS-7,baker_hughes_rotary_drilling_v2,train,0,0
48,BAKWR HUGHES CO,crc.,MB-51A,baker_hughes_circulating_v1,train,0,0
49,BakerHughes,SLIDE DRILLING,MB-078,baker_hughes_slide_drilling_v1,train,0,0
50,BAKER HUGHES CO,running in hole,NS-010ST1,baker_hughes_trip_in_v1,train,0,0
51,schlumberger ltd,hole circulation,ar-75,slb_circulating_v2,train,0,0
52,BakerwHughes Co,Sliding Mode Drilling,AR-83,baker_hughes_slide_drilling_v1,train,0,0
53,SLB Intl,ROT DRILL,NS14A,slb_rotary_drilling_v2,test,1,0
54,baker hughes o,RIH,NS4,baker_hughes_trip_in_v1,train,0,0
55,  Baker  Hughes Company ,rotary mode drilling,bh-11,baker_hughes_rotary_drilling_v1,test,1,1
56,slb,rot. drilling,MB-56ST1,slb_rotary_drilling_v1,train,0,0
57,Slb,CRC,mb-42A,slb_circulating_v1,val,0,0
58,bakerhughes,ROT DRILL,WELL-MB-82ST1,baker_hughes_rotary_drilling_v1,train,0,0
59,SLB Ltd,drilling - rotary,AR-059ST1,slb_rotary_drilling_v2,train,0,0
60,Slb,slide rdlg,BH 69A,slb_slide_drilling_v1,train,0,0
61,halliburon,  pull  out of hole ,AR 41A,halliburton_trip_out_v1,val,0,0
62,baker hughes,Hole Circulation,BH 89ST1,baker_hughes_circulating_v1,train,0,0
63,Baker vughes,Slidinng,kg-36H,baker_hughes_slide_drilling_v1,train,0,0
64,SLB LTD,rotary drlg,WELL-KG-72H,slb_rotary_drilling_v1,train,0,0
65,  HAL ,ROT DRILL,AR96,halliburton_rotary_drilling_v2,train,0,0
66,Schlumberger,sliding mode drilling,NS 1A,slb_slide_drilling_v1,val,0,0
67,BakerHughes,circ.,NS-31,baker_hughes_circulating_v2,train,0,0
68,halliburton,CIRC.,AR-097,halliburton_circulating_v2,train,0,0
69,halliburton co,  tripping  in ,ar-68H,halliburton_trip_in_v1,train,0,0
70,Schlumberger,TIH,BH-63ST1,slb_trip_in_v1,train,0,0
71,HAL,Rot Drill,WELL-BH-57A,halliburton_rotary_drilling_v1,train,0,0
72,slb ltd,ROT DRILL,bh-89ST1,slb_rotary_drilling_v1,train,0,0
73,BKR,  rot.  driling ,NS10ST1,baker_hughes_rotary_drilling_v2,train,0,0
74,BAKERHGHES,hole cmrculation,KG30,baker_hughes_circulating_v1,train,0,0
75,HALLIBURTON,DRILLING - RTARY,KG-21,halliburton_rotary_drilling_v1,train,0,0
76,Halliburton Co,ROT DRILL,WELL-AR-45ST1,halliburton_rotary_drilling_v2,train,0,0
77,SLB Ltd,drilling rtoary,MB-78,slb_rotary_drilling_v1,train,0,0
78,SLB,ccrculating,WELL-NS-25ST1,slb_circulating_v2,test,0,0
79,BaerHughes,slide drilling,AR-15H,baker_hughes_slide_drilling_v1,train,0,0
80,BAKERHUGHES,  DRILLJNG  - SLIDE ,NS-59ST1,baker_hughes_slide_drilling_v1,train,0,0
81,BKR,circulate,MB-4,baker_hughes_circulating_v1,test,0,0
82,Baker Hughes,CIRCULATION,BH 98,baker_hughes_circulating_v1,train,0,0
83,SLB,CIRC,WELL-BH-42,slb_circulating_v1,val,0,0
84,SLB LTD,RUNNING IN HOLE,MB-018,slb_trip_in_v1,val,0,0
85,SLB,circulate,KG70,slb_circulating_v1,train,0,0
86,HAL,Slide Drill,NS 52ST1,halliburton_slide_drilling_v1,train,0,0
87,BAAKER HUGHES,  drilling  - rotary ,KG-049,baker_hughes_rotary_drilling_v1,train,0,0
88,halliburton,circulate,BH-48H,halliburton_circulating_v1,train,0,0
89,SCHLUMBERGER,  Trip  In ,mb-47,slb_trip_in_v1,train,0,0
90,SLB,pull out of hole,WELL-NS-8,slb_trip_out_v1,train,0,0
91,Halliburton Energy Services,circulate,KG-072H,halliburton_circulating_v1,train,0,0
92,SLB,slide drilling,BH 31,slb_slide_drilling_v1,train,0,0
93,Halliburton,CIRCULATING,mb-74H,halliburton_circulating_v1,train,0,0
94,Baker Hughes Co,drilling - rotary,NS-60A,baker_hughes_rotary_drilling_v2,train,0,0
95,Schlumberger,pull ort of hole,AR-017A,slb_trip_out_v1,train,0,0
96,slb,  sliding  mode drilling ,WELL-AR-34,slb_slide_drilling_v1,train,0,0
97,BAKER HGHES,slide drlg,NS 70,baker_hughes_slide_drilling_v1,train,0,0
98,Halliburton Co,TRIP IN,WELL-MB-86H,halliburton_trip_in_v1,train,0,0
99,  Schlumberger ,rootary drilling,BH61,slb_rotary_drilling_v1,test,0,0
100,Schlumberger,Crc.,MB-047,slb_circulating_v1,train,0,0
101,bakerhughes,sliding,ar-2,baker_hughes_slide_drilling_v1,val,0,0
102,Baker Hughes,HOLE CIRCULATION,bh-52A,baker_hughes_circulating_v1,train,0,0
103,Schlumberger Ltd,cric.,ns-63ST1,slb_circulating_v2,train,0,0
104,Hallibburton,Circ.,kg-62ST1,halliburton_circulating_v1,train,0,0
105,hal,Rot Drill,ar-32ST1,halliburton_rotary_drilling_v2,test,0,0
106,BAKER HUGHES,circulation,AR-21,baker_hughes_circulating_v2,train,0,0
107,  Schlumberger ,circulation,WELL-NS-4,slb_circulating_v2,train,0,0
108,  Sclumberger ,rot. dirlling,BH 55A,slb_rotary_drilling_v1,val,0,0
109,Halliburton,ROT DRILL,WELL-MB-34ST1,halliburton_rotary_drilling_v1,val,0,0
110,Halliburton Energy Services,TOOH,WELL-BH-57A,halliburton_trip_out_v1,train,0,0
111,BAKER HUGHES CO,drilling - sldie,WELL-NS-52ST1,baker_hughes_slide_drilling_v1,train,0,0
112,bakerkhughes co,TOOH,MB 92,baker_hughes_trip_out_v1,train,0,0
113,SLB,rootary drill,BH 34A,slb_rotary_drilling_v1,train,0,0
114,Shclumberger,rotary ddrlg,bh-29,slb_rotary_drilling_v1,train,0,0
115,BakerHughes,rotarydrlg,MB-96ST1,baker_hughes_rotary_drilling_v1,train,0,0
116,Baker Hughes Co,  Trip  Out ,NS50ST1,baker_hughes_trip_out_v1,train,0,0
117,Hal,TRIP IN HOLE,WELL-NS-25ST1,halliburton_trip_in_v1,test,0,1
118,SLB Ltd,circulation,AR75,slb_circulating_v2,train,0,0
119,Baker Hughes,RIH,BH-93,baker_hughes_trip_in_v1,val,0,0
120,Baker Hughes Co,SLIDING MODE DRILLING,WELL-AR-19,baker_hughes_slide_drilling_v1,train,0,0
121,baker hughes company,circ.,BH 26,baker_hughes_circulating_v1,test,1,0
122,bakerhughes,TRIP-OUT,AR-94,baker_hughes_trip_out_v1,test,0,0
123,Bakrrhughes,drilling - slide,mb-28H,baker_hughes_slide_drilling_v1,test,0,0
124,schlumberger,rotary drilling,BH58A,slb_rotary_drilling_v1,val,0,0
125,  SLB  Ltd ,circ.,bh-61,slb_circulating_v1,test,0,0
126,halliburton,  Hole  Circulation ,AR-075,halliburton_circulating_v2,train,0,0
127,schlumberger ltd,ROT DRILL,KG26,slb_rotary_drilling_v1,train,0,0
128,hal,fluid circulation,kg-29H,halliburton_circulating_v1,test,0,1
129,Halliburton Co,CIRCULATE,AR 70ST1,halliburton_circulating_v2,train,0,0
130,  Baker  Hughes ,circplating mud,WELL-NS-14A,baker_hughes_circulating_v2,test,0,1
131,Schlumberger Ltd,circulation,WELL-NS-18H,slb_circulating_v2,train,0,0
132,baker hughes co,circulation,AR71ST1,baker_hughes_circulating_v2,val,0,0
133,SLB Ltd,drilling - rotary,NS62,slb_rotary_drilling_v2,train,0,0
134,halliburton energy services,circulate,NS 14A,halliburton_circulating_v2,test,0,0
135,Baker Hughes Company,circulate,mb-30H,baker_hughes_circulating_v1,test,1,0
136,BakerHughes,trip out,KG12A,baker_hughes_trip_out_v1,train,0,0
137,Halliburton Co,Fluid Circulaton,WELL-AR-18,halliburton_circulating_v2,test,0,1
138,Baker Hughes,hole circultion,WELL-AR-45ST1,baker_hughes_circulating_v2,train,0,0
139,baker hughes co,circulating,WELL-MB-95A,baker_hughes_circulating_v1,test,0,0
140,Halliburton Energy Services,Rot. Drilling,MB-089,halliburton_rotary_drilling_v1,test,0,0
141,Halliburton,running in hole,NS 60A,halliburton_trip_in_v1,train,0,0
142,bakerhughes,ROTARY DRLG,AR-19,baker_hughes_rotary_drilling_v2,train,0,0
143,Halliburton Co,drilling - slide,AR-41A,halliburton_slide_drilling_v1,val,0,0
144,Baker Hughes Co,pull out of holle,MB-30H,baker_hughes_trip_out_v1,test,0,0
145,SLB Ltd,ciirculating,AR-071ST1,slb_circulating_v2,val,0,0
146,BakerHughes,slide drlg,WELL-BH-17,baker_hughes_slide_drilling_v1,train,0,0
147,HAL,slide drill,KG-070,halliburton_slide_drilling_v1,train,0,0
148,SLB,ROTARY DIRLL,AR-083,slb_rotary_drilling_v2,train,0,0
149,Baker Hughes,rotary drilling,AR 18,baker_hughes_rotary_drilling_v2,test,0,0
150,haliburton,  pooh ,NS24,halliburton_trip_out_v1,train,0,0
151,Baker Hughes,trip-ni,bh-29,baker_hughes_trip_in_v1,train,0,0
152,BakerHughes,tirp-out,WELL-NS-18H,baker_hughes_trip_out_v1,train,0,0
153,  Haalliburton  Co ,cirulation,NS 2ST1,halliburton_circulating_v2,train,0,0
154,BakerHughes,rot. drilling,NS-062,baker_hughes_rotary_drilling_v2,train,0,0
155,Srb Ltd,cicr.,MB 85ST1,slb_circulating_v1,val,0,0
156,Baker Hughes,Circ,KG14A,baker_hughes_circulating_v1,train,0,0
157,SCHLUMBERGER LTD,circuulating,ns-87,slb_circulating_v2,train,0,0
158,Hallliburton Co,circ,WELL-BH-36,halliburton_circulating_v1,train,0,0
159,HALLIBURTONNCO,trip in,KG-020H,halliburton_trip_in_v1,train,0,0
160,Halliburton,pull out of hole,WELL-NS-95H,halliburton_trip_out_v1,train,0,0
161,Schlumberger Ltd,SLIDING MODE DRILLING,WELL-BH-38,slb_slide_drilling_v1,train,0,0
162,SLv Ltd,TRIPPING OUT,AR-002,slb_trip_out_v1,val,0,0
163,baker hughes co,rotary drilling,ns-71,baker_hughes_rotary_drilling_v2,train,0,0
164,Hallizurton,circulating,AR-32ST1,halliburton_circulating_v2,test,0,0
165,sbl ltd,running in hole,WELL-AR-69H,slb_trip_in_v1,train,0,0
166,halliburton co,circulate,NS-31,halliburton_circulating_v2,train,0,0
167,SCHLUMBERGER LTD,POOH,BH-69A,slb_trip_out_v1,train,0,0
168,BakreHughes,rotary dilling,AR-065H,baker_hughes_rotary_drilling_v2,train,0,0
169,  SLB  Ld ,rotary yrill,AR-34,slb_rotary_drilling_v2,train,0,0
170,  BKR ,Cvrculating Mud,ns-25ST1,baker_hughes_circulating_v2,test,0,1
171,BKR,sliding,KG-005H,baker_hughes_slide_drilling_v1,train,0,0
172,Baker Huges Co,circulaate,MB 34ST1,baker_hughes_circulating_v1,val,0,0
173,Baker Hughes Co,trip-in,AR 90H,baker_hughes_trip_in_v1,train,0,0
174,Baker Hughes,pull out of hole,mb-6ST1,baker_hughes_trip_out_v1,train,0,0
175,  BakerHughes ,run in hole,KG-020H,baker_hughes_trip_in_v1,train,0,0
176,SLB LTD,Circ,BH22ST1,slb_circulating_v1,train,0,0
177,  Halliburton  Energy Services ,running in hole,WELL-MB-29A,halliburton_trip_in_v1,train,0,0
178,  Schlumberger ,drilling rotary,MB 41,slb_rotary_drilling_v1,train,0,0
179,BKR,trip out,AR-20,baker_hughes_trip_out_v1,test,0,0
180,bakerhughes,drilling rotary,KG-65,baker_hughes_rotary_drilling_v1,train,0,0
181,HALLIBURTON,run in hole,NS-036ST1,halliburton_trip_in_v1,train,0,0
182,Schlumberger Ltd,circulatinng,BH-58A,slb_circulating_v1,val,0,0
183,BakerHughes,rotary drlg,MB-29A,baker_hughes_rotary_drilling_v1,train,0,0
184,BAKERHUGHS,Sliding,NS 62,baker_hughes_slide_drilling_v1,train,0,0
185,SLB Ltd,Rot. Drilling,AR-069H,slb_rotary_drilling_v2,train,0,0
186,  Schlumberger ,POOH,WELL-KG-78,slb_trip_out_v1,train,0,0
187,  Halliburton  Energy Services ,CIRC,WELL-NS-87,halliburton_circulating_v2,train,0,0
188,Sl Bltd,ROT DRILL,NS2ST1,slb_rotary_drilling_v2,train,0,0
189,SCHLUMBERGER LTD,SLIDE DRILLING,WELL-MB-52,slb_slide_drilling_v1,train,0,0
190,Halliburton Co,HOLE CIRCULATION,ar-75,halliburton_circulating_v2,train,0,0
191,Halliburton Co,ROT DRILL,ns-2ST1,halliburton_rotary_drilling_v2,train,0,0
192,Hallibsrton Co,CIRV.,WELL-NS-18H,halliburton_circulating_v2,train,0,0
193,halliburton co,PULLING OUT OF HOLE,MB86H,halliburton_trip_out_v1,train,0,0
194,  baker  hughes ,Circ,bh-22ST1,baker_hughes_circulating_v1,train,0,0
195,slb,circ,AR13,slb_circulating_v2,train,0,0
196,schlumberger ltd,Slid Drlg,AR-32ST1,slb_slide_drilling_v1,test,0,0
197,  SLB  LTD ,TRIPPING IN,WELL-MB-72A,slb_trip_in_v1,train,0,0
198,Baker Hughes,TOOH,MB-72A,baker_hughes_trip_out_v1,train,0,0
199,Baklr Hughes,  RUN  IN HOLE ,NS8,baker_hughes_trip_in_v1,train,0,0
200,SLB,circ.,mb-55ST1,slb_circulating_v1,train,0,0
201,Baker Hughes Co,CIRC.,WELL-NS-12,baker_hughes_circulating_v2,val,0,0
202,bakerhughes,rotary drill,AR-028,baker_hughes_rotary_drilling_v2,val,0,0
203,Halliburton Co,Circulate,WELL-NS-25ST1,halliburton_circulating_v2,test,0,0
204,SLB,circulate,BH71ST1,slb_circulating_v1,val,0,0
205,Schlumberger,ROT DRILL,WELL-BH-28A,slb_rotary_drilling_v1,train,0,0
206,schlumberger,trip in,WELL-NS-37H,slb_trip_in_v1,val,0,0
207,Halliburton,CIRC.,WELL-NS-69ST1,halliburton_circulating_v2,train,0,0
208,Schlumberger,circ.,WELL-MB-35A,slb_circulating_v1,train,0,0
209,schlumberger ltd,Pulling Out Of Hole,MB-092,slb_trip_out_v1,train,0,0
210,halliburton,cric.,AR-59ST1,halliburton_circulating_v2,train,0,0
211,Schlumberger Ltd,PULL OUT OF HOLE,MB 6ST1,slb_trip_out_v1,train,0,0
212,BakerHughes,trip-out,MB-088ST1,baker_hughes_trip_out_v1,val,0,0
213,  BAKERHUGHES ,Trip Out,bh-94,baker_hughes_trip_out_v1,train,0,0
214,SLB,drilling rotary,BH8,slb_rotary_drilling_v1,train,0,0
215,baker hughes co,  Rotary  Drg ,BH86A,baker_hughes_rotary_drilling_v1,train,0,0
216,SLB,Circ.,AR-34,slb_circulating_v2,train,0,0
217,SLB,pulling out of hole,AR 28,slb_trip_out_v1,val,0,0
218,halliburton co,TRIP IN,mb-96ST1,halliburton_trip_in_v1,train,0,0
219,Hallibrrton,Pull Out Of Hole,WELL-KG-1H,halliburton_trip_out_v1,val,0,0
220,Halliburton Energy Services,slid drlg,NS-034ST1,halliburton_slide_drilling_v1,train,0,0
221,baker hughes co,CIRCULATION,WELL-NS-7,baker_hughes_circulating_v2,train,0,0
222,SLB,sliding,WELL-MB-19H,slb_slide_drilling_v1,train,0,0
223,BakerHughes,POH,WELL-NS-28ST1,baker_hughes_trip_out_v1,test,0,0
224,Hal,  rot.  drilling ,AR 20,halliburton_rotary_drilling_v2,test,0,0
225,HAL,rot. drilling,AR80A,halliburton_rotary_drilling_v2,val,0,0
226,halliburton energy services,pooh,KG 18,halliburton_trip_out_v1,val,0,0
227,Bakkerhughes,rotmry drlg,WELL-AR-86H,baker_hughes_rotary_drilling_v2,val,0,0
228,  Bkr ,Hole Circulation,ar-93ST1,baker_hughes_circulating_v2,train,0,0
229,BKR,rotary drillig,AR 17A,baker_hughes_rotary_drilling_v2,train,0,0
230,Bakkr Hughes Co,circulation,NS 69ST1,baker_hughes_circulating_v2,train,0,0
231,SCLUMBERGER LTD,trip out of hole,MB89,slb_trip_out_v1,test,0,1
232,BKR,circ.,AR85,baker_hughes_circulating_v2,train,0,0
233,Slb,circulate,AR-045ST1,slb_circulating_v2,train,0,0
234,HAL,  hole  circulation ,ns-2ST1,halliburton_circulating_v2,train,0,0
235,  Bakr  Hughes Co ,circulate,KG 4,baker_hughes_circulating_v1,train,0,0
236,  slb  ltd ,ciruclating,KG 32ST1,slb_circulating_v1,train,0,0
237,Schlumberger,TOOH,WELL-MB-49,slb_trip_out_v1,train,0,0
238,Baker Hughes Co,  Rot.  Drilling ,WELL-BH-52A,baker_hughes_rotary_drilling_v1,train,0,0
239,halliburton,CIfC,ns-28ST1,halliburton_circulating_v2,test,0,0
240,  Baker  Hughe sCo ,CIRC,NS71,baker_hughes_circulating_v2,train,0,0
241,BAKER HUGHES CO,RIH,MB-019H,baker_hughes_trip_in_v1,train,0,0
242,Hahliburton Energy Services,CIRC.,WELL-KG-71,halliburton_circulating_v1,train,0,0
243,SLB Ltd,CIRC,KG15A,slb_circulating_v1,train,0,0
244,Schlumberger Ltd,rotary drilling,AR-39H,slb_rotary_drilling_v2,train,0,0
245,BKR,tripo-ut,WELL-AR-34,baker_hughes_trip_out_v1,train,0,0
246,schlumbberger,circulating,BH 55A,slb_circulating_v1,val,0,0
247,BAKER HUGHES,TIH,BH17,baker_hughes_trip_in_v1,train,0,0
248,Halliburton Co,pull out of hole,AR-084,halliburton_trip_out_v1,train,0,0
249,HALLIBURTON ENERGY SERVICS,Rot. Drilling,KG 89,halliburton_rotary_drilling_v1,train,0,0
250,Schlumberger Limited,  drillling  - rotary ,BH-73H,slb_rotary_drilling_v1,test,1,0
251,SLB,TOOH,AR39H,slb_trip_out_v1,train,0,0
252,SCHLUMBERGER,Sliding Mode Drilling,BH 63ST1,slb_slide_drilling_v1,train,0,0
253,Baker Hughes Company,Tih,MB 60,baker_hughes_trip_in_v1,test,1,0
254,bakerhughes,TRIP-IN,MB 41,baker_hughes_trip_in_v1,train,0,0
255,Schlumberger,ROT. DRILLING,KG65,slb_rotary_drilling_v1,train,0,0
256,SCHLUMBERGER LTD,rotary drill,KG-084,slb_rotary_drilling_v1,train,0,0
257,BAKER HUGHES CO,  drilling  rotary ,KG99,baker_hughes_rotary_drilling_v1,train,0,0
258,Halliburton,circulating,NS80ST1,halliburton_circulating_v2,train,0,0
259,Halliburton Co,CIRCULATION,NS 87,halliburton_circulating_v2,train,0,0
260,  Baker  Hudhes ,Tih,NS 22A,baker_hughes_trip_in_v1,train,0,0
261,Baker Hughes Co,slide drlg,NS-036ST1,baker_hughes_slide_drilling_v1,train,0,0
262,BKR,rotary drilling,AR-59ST1,baker_hughes_rotary_drilling_v2,train,0,0
263,BakeruHghes,DIRECTIONAL SLIDE,BH-11,baker_hughes_slide_drilling_v1,test,0,1
264,BakerHughes,circulating,KG 21,baker_hughes_circulating_v1,train,0,0
265,Halliburton Energy Services,rotary drilling,BH-93,halliburton_rotary_drilling_v1,val,0,0
266,Schlumberger Ltd,CIRC,AR39H,slb_circulating_v2,train,0,0
267,Halliburton,run in hole,WELL-KG-54,halliburton_trip_in_v1,train,0,0
268,halliburtno,trip-in,MB 86H,halliburton_trip_in_v1,train,0,0
269,  HAL ,rotary driill,WELL-NS-49,halliburton_rotary_drilling_v2,train,0,0
270,BKR,drilling - rotary,BH-029,baker_hughes_rotary_drilling_v1,train,0,0
271,Baker Hughes,sliding mode drilling,WELL-NS-52ST1,baker_hughes_slide_drilling_v1,train,0,0
272,Bake Hughes Co,drilling - rotary,BH 28A,baker_hughes_rotary_drilling_v1,train,0,0
273,Baker Hughes,TRIIPPING OUT,WELL-KG-12A,baker_hughes_trip_out_v1,train,0,0
274,Schlumberger Ltd,hole circulation,KG-86H,slb_circulating_v1,train,0,0
275,  Schlumberger ,rot.. drilling,BH-031,slb_rotary_drilling_v1,train,0,0
276,SLB,Drilling - Rotary,AR28,slb_rotary_drilling_v2,val,0,0
277,Halliburton Co,tripping out,NS-032ST1,halliburton_trip_out_v1,train,0,0
278,SLB Ltd,running in hole,KG76,slb_trip_in_v1,train,0,0
279,Hal,Pull Outt Of Hole,AR75,halliburton_trip_out_v1,train,0,0
280,BAKER HUGHES,running in the hole,NS-28ST1,baker_hughes_trip_in_v1,test,0,1
281,Schlumberger,TRIPPING OUT,WELL-MB-32ST1,slb_trip_out_v1,val,0,0
282,Schlumberger Ltd,ROTARY DRILL,MB-082ST1,slb_rotary_drilling_v1,train,0,0
283,Schlumberger Tld,circ.,WELL-NS-53,slb_circulating_v2,train,0,0
284,Baker Hughes Co,hole circullation,WELL-NS-25ST1,baker_hughes_circulating_v2,test,0,0
285,Schlumberger,drilling-  rotary,BH-68,slb_rotary_drilling_v1,train,0,0
286,slb ld,rotary drlg,ar-21,slb_rotary_drilling_v2,train,0,0
287,halliburton energy services,RIH,WELL-BH-89ST1,halliburton_trip_in_v1,train,0,0
288,HALLIBURTON ENERGY SERVICES,drilling - notary,NS55,halliburton_rotary_drilling_v2,train,0,0
289,SB Ltd,trip-in,WELL-BH-84ST1,slb_trip_in_v1,train,0,0
290,Schlumberger,tripping out,KG 30,slb_trip_out_v1,train,0,0
291,  Baker  Hughes Cmpany ,ROT DRILL,BH-40,baker_hughes_rotary_drilling_v1,test,1,0
292,  Halliburton  Co ,Running In Hole,KG-12A,halliburton_trip_in_v1,train,0,0
293,baker hughes co,ciri.,MB-42A,baker_hughes_circulating_v1,val,0,0
294,HAL,slide drill,WELL-NS-13ST1,halliburton_slide_drilling_v1,train,0,0
295,Halliburton Energy Services,Rotary Drill,WELL-NS-57,halliburton_rotary_drilling_v2,val,0,0
296,Halliburton Co,circulation,bh-38,halliburton_circulating_v1,train,0,0
297,slb ltd,  circ. ,WELL-AR-39H,slb_circulating_v2,train,0,0
298,Baker Hughes Co,ROTARY DRILL,MB-42A,baker_hughes_rotary_drilling_v1,val,0,0
299,bkr,  circulation ,WELL-NS-7,baker_hughes_circulating_v2,train,0,0
300,BKR,drilling - slide,BH 8,baker_hughes_slide_drilling_v1,train,0,0
301,BKR,TRP-OUT,KG-86H,baker_hughes_trip_out_v1,train,0,0
302,Halliburton,hole ciculation,KG-089,halliburton_circulating_v1,train,0,0
303,slb,Cirt.,AR-80A,slb_circulating_v2,val,0,0
304,  Schlumbergsr  Ltd ,Roatry Drilling,ns-69ST1,slb_rotary_drilling_v2,train,0,0
305,bakerh ughes,hole circulation,BH-057A,baker_hughes_circulating_v1,train,0,0
306,baker hughes,running in hole,WELL-NS-32ST1,baker_hughes_trip_in_v1,train,0,0
307,Schlumberger,triip out,BH 28A,slb_trip_out_v1,train,0,0
308,SLB Ltd,rotary drilling,KG 93A,slb_rotary_drilling_v1,train,0,0
309,Schlumberger Limited,ROTARY DRLG,WELL-AR-32ST1,slb_rotary_drilling_v2,test,1,0
310,Schlumberger Ltd,circulating,NS52ST1,slb_circulating_v2,train,0,0
311,Halliburton,rotamy drlg,MB-73,halliburton_rotary_drilling_v1,test,0,0
312,SLB LTD,drilling - rotary,WELL-KG-99,slb_rotary_drilling_v1,train,0,0
313,hal,CIRC,WELL-NS-52ST1,halliburton_circulating_v2,train,0,0
314,Baker Hughgs,pull out of hole,WELL-NS-28ST1,baker_hughes_trip_out_v1,test,0,0
315,BKR,  Circ ,AR 20,baker_hughes_circulating_v2,test,0,0
316,Halliburton Energy Services,  ciirc. ,NS32ST1,halliburton_circulating_v2,train,0,0
317,HAL,  ROT  DRILL ,WELL-KG-97ST1,halliburton_rotary_drilling_v1,train,0,0
318,SLB,sliding mdoe drilling,AR-28,slb_slide_drilling_v1,val,0,0
319,SLB,drilling - rotary,bh-22ST1,slb_rotary_drilling_v1,train,0,0
320,  BKR ,Runningg In Hole,mb-82ST1,baker_hughes_trip_in_v1,train,0,0
